Total ticket,Pourboire,Genre,Fumeur,Jour semaine,Service,Nb. couverts
8.52,1.48,Homme,Non,Jeudi,Déjeuner,2
14.52,2.0,Femme,Non,Jeudi,Déjeuner,2
11.38,2.0,Femme,Non,Jeudi,Déjeuner,2
22.82,2.18,Homme,Non,Jeudi,Déjeuner,3
19.08,1.5,Homme,Non,Jeudi,Déjeuner,2
20.27,2.83,Femme,Non,Jeudi,Déjeuner,2
11.17,1.5,Femme,Non,Jeudi,Déjeuner,2
12.26,2.0,Femme,Non,Jeudi,Déjeuner,2
18.26,3.25,Femme,Non,Jeudi,Déjeuner,2
8.51,1.25,Femme,Non,Jeudi,Déjeuner,2
10.33,2.0,Femme,Non,Jeudi,Déjeuner,2
14.15,2.0,Femme,Non,Jeudi,Déjeuner,2
16.0,2.0,Homme,Oui,Jeudi,Déjeuner,2
13.16,2.75,Femme,Non,Jeudi,Déjeuner,2
17.47,3.5,Femme,Non,Jeudi,Déjeuner,2
34.3,6.7,Homme,Non,Jeudi,Déjeuner,6
41.19,5.0,Homme,Non,Jeudi,Déjeuner,5
27.05,5.0,Femme,Non,Jeudi,Déjeuner,6
16.43,2.3,Femme,Non,Jeudi,Déjeuner,2
8.35,1.5,Femme,Non,Jeudi,Déjeuner,2
18.64,1.36,Femme,Non,Jeudi,Déjeuner,3
11.87,1.63,Femme,Non,Jeudi,Déjeuner,2
9.78,1.73,Homme,Non,Jeudi,Déjeuner,2
7.51,2.0,Homme,Non,Jeudi,Déjeuner,2
14.07,2.5,Homme,Non,Dimanche,Dîner,2
13.13,2.0,Homme,Non,Dimanche,Dîner,2
17.26,2.74,Homme,Non,Dimanche,Dîner,3
24.55,2.0,Homme,Non,Dimanche,Dîner,4
19.77,2.0,Homme,Non,Dimanche,Dîner,4
29.85,5.14,Femme,Non,Dimanche,Dîner,5
48.17,5.0,Homme,Non,Dimanche,Dîner,6
25.0,3.75,Femme,Non,Dimanche,Dîner,4
13.39,2.61,Femme,Non,Dimanche,Dîner,2
16.49,2.0,Homme,Non,Dimanche,Dîner,4
21.5,3.5,Homme,Non,Dimanche,Dîner,4
12.66,2.5,Homme,Non,Dimanche,Dîner,2
16.21,2.0,Femme,Non,Dimanche,Dîner,3
13.81,2.0,Homme,Non,Dimanche,Dîner,2
17.51,3.0,Femme,Oui,Dimanche,Dîner,2
24.52,3.48,Homme,Non,Dimanche,Dîner,3
20.76,2.24,Homme,Non,Dimanche,Dîner,2
31.71,4.5,Homme,Non,Dimanche,Dîner,4
10.59,1.61,Femme,Oui,Samedi,Dîner,2
10.63,2.0,Femme,Oui,Samedi,Dîner,2
50.81,10.0,Homme,Oui,Samedi,Dîner,3
15.81,3.16,Homme,Oui,Samedi,Dîner,2
7.25,5.15,Homme,Oui,Dimanche,Dîner,2
31.85,3.18,Homme,Oui,Dimanche,Dîner,2
16.82,4.0,Homme,Oui,Dimanche,Dîner,2
32.9,3.11,Homme,Oui,Dimanche,Dîner,2
17.89,2.0,Homme,Oui,Dimanche,Dîner,2
14.48,2.0,Homme,Oui,Dimanche,Dîner,2
9.6,4.0,Femme,Oui,Dimanche,Dîner,2
34.63,3.55,Homme,Oui,Dimanche,Dîner,2
34.65,3.68,Homme,Oui,Dimanche,Dîner,4
23.33,5.65,Homme,Oui,Dimanche,Dîner,2
45.35,3.5,Homme,Oui,Dimanche,Dîner,3
23.17,6.5,Homme,Oui,Dimanche,Dîner,4
40.55,3.0,Homme,Oui,Dimanche,Dîner,2
20.69,5.0,Homme,Non,Dimanche,Dîner,5
20.9,3.5,Femme,Oui,Dimanche,Dîner,3
30.46,2.0,Homme,Oui,Dimanche,Dîner,5
18.15,3.5,Femme,Oui,Dimanche,Dîner,3
23.1,4.0,Homme,Oui,Dimanche,Dîner,3
15.69,1.5,Homme,Oui,Dimanche,Dîner,2
19.81,4.19,Femme,Oui,Jeudi,Déjeuner,2
28.44,2.56,Homme,Oui,Jeudi,Déjeuner,2
15.48,2.02,Homme,Oui,Jeudi,Déjeuner,2
16.58,4.0,Homme,Oui,Jeudi,Déjeuner,2
7.56,1.44,Homme,Non,Jeudi,Déjeuner,2
10.34,2.0,Homme,Oui,Jeudi,Déjeuner,2
43.11,5.0,Femme,Oui,Jeudi,Déjeuner,4
13.0,2.0,Femme,Oui,Jeudi,Déjeuner,2
13.51,2.0,Homme,Oui,Jeudi,Déjeuner,2
18.71,4.0,Homme,Oui,Jeudi,Déjeuner,3
12.74,2.01,Femme,Oui,Jeudi,Déjeuner,2
13.0,2.0,Femme,Oui,Jeudi,Déjeuner,2
16.4,2.5,Femme,Oui,Jeudi,Déjeuner,2
20.53,4.0,Homme,Oui,Jeudi,Déjeuner,4
16.47,3.23,Femme,Oui,Jeudi,Déjeuner,3
26.59,3.41,Homme,Oui,Samedi,Dîner,3
38.73,3.0,Homme,Oui,Samedi,Dîner,4
24.27,2.03,Homme,Oui,Samedi,Dîner,2
12.76,2.23,Femme,Oui,Samedi,Dîner,2
30.06,2.0,Homme,Oui,Samedi,Dîner,3
25.89,5.16,Homme,Oui,Samedi,Dîner,4
48.33,9.0,Homme,Non,Samedi,Dîner,4
13.27,2.5,Femme,Oui,Samedi,Dîner,2
28.17,6.5,Femme,Oui,Samedi,Dîner,3
12.9,1.1,Femme,Oui,Samedi,Dîner,2
28.15,3.0,Homme,Oui,Samedi,Dîner,5
11.59,1.5,Homme,Oui,Samedi,Dîner,2
7.74,1.44,Homme,Oui,Samedi,Dîner,2
30.14,3.09,Femme,Oui,Samedi,Dîner,4
12.16,2.2,Homme,Oui,Vendredi,Déjeuner,2
13.42,3.48,Femme,Oui,Vendredi,Déjeuner,2
8.58,1.92,Homme,Oui,Vendredi,Déjeuner,1
15.98,3.0,Femme,Non,Vendredi,Déjeuner,3
13.42,1.58,Homme,Oui,Vendredi,Déjeuner,2
16.27,2.5,Femme,Oui,Vendredi,Déjeuner,2
10.09,2.0,Femme,Oui,Vendredi,Déjeuner,2
20.45,3.0,Homme,Non,Samedi,Dîner,4
13.28,2.72,Homme,Non,Samedi,Dîner,2
22.12,2.88,Femme,Oui,Samedi,Dîner,2
24.01,2.0,Homme,Oui,Samedi,Dîner,4
15.69,3.0,Homme,Oui,Samedi,Dîner,3
11.61,3.39,Homme,Non,Samedi,Dîner,2
10.77,1.47,Homme,Non,Samedi,Dîner,2
15.53,3.0,Homme,Oui,Samedi,Dîner,2
10.07,1.25,Homme,Non,Samedi,Dîner,2
12.6,1.0,Homme,Oui,Samedi,Dîner,2
32.83,1.17,Homme,Oui,Samedi,Dîner,2
35.83,4.67,Femme,Non,Samedi,Dîner,3
29.03,5.92,Homme,Non,Samedi,Dîner,3
27.18,2.0,Femme,Oui,Samedi,Dîner,2
22.67,2.0,Homme,Oui,Samedi,Dîner,2
17.82,1.75,Homme,Non,Samedi,Dîner,2
18.78,3.0,Femme,Non,Jeudi,Dîner,2
